province,year,nqp,aging,urban,ur_gap,digint,in_fdi,in_elec,tertiary,tdr,lp
安徽,2011,0.262086511,14.7,0.45,2.693437,0.022670548,10.4007415,7.107581072,0.760498712,39.9,-0.073396811
安徽,2012,0.253125161,14.4,0.46,2.648735,0.022795089,10.59568428,7.216048475,0.765060176,39.7,-0.009196743
安徽,2013,0.285910159,14.8,0.48,2.575028,0.028735856,10.63614387,7.331780413,0.799089257,40.8,-0.119982336
安徽,2014,0.272943586,14.5,0.49,2.504942,0.027976456,10.77949781,7.368453245,0.841522044,39.5,-0.073631633
安徽,2015,0.293319196,15.7,0.51,2.489234,0.034553891,11.5757688,7.402323464,0.979563216,40.8,-0.05061965
安徽,2016,0.285317212,16.2,0.53,2.487713,0.043819288,11.11626151,7.492749159,1.067983503,40.9,-0.001158991
安徽,2017,0.295513958,19.1,0.54,2.480013,0.036385362,11.36952842,7.560851001,1.136540706,47.3,0.020611403
安徽,2018,0.235628977,19.4,0.56,2.457345,0.075790266,11.63500149,7.666254712,1.225912419,46.6,0.029188914
安徽,2019,0.319772691,20.7,0.57,2.435132,0.120706225,12.01759015,7.74109909,1.266499666,48.4,0.119466897
安徽,2020,0.31309244,22.05,0.58,2.373165,0.148759994,12.68449077,7.794823152,1.292025104,50.05,0.209137402
安徽,2021,0.307548583,23.4,0.59,2.341008,0.023398692,12.69096489,7.906547232,1.273838319,51.7,0.264510025
安徽,2022,0.285733253,23.9,0.6,2.305645,0.023453126,12.73287004,8.004031508,1.289611518,51.1,0.316183684
北京,2011,0.51261723,10.7,0.86,2.646267,0.032954641,11.80830781,6.711387535,3.786097157,21.3,0.550876481
北京,2012,0.494325638,10.5,0.86,2.623235,0.033179446,11.9140813,6.773423566,3.895306017,21.9,0.645357528
北京,2013,0.499789625,10.5,0.86,2.605929,0.03858132,12.08449806,6.816845404,4.031979464,22.7,1.013915219
北京,2014,0.558641553,10.5,0.87,2.572322,0.038815755,12.21119451,6.842736643,4.135777126,23,1.076807799
北京,2015,0.500387013,13.5,0.87,2.569838,0.047696648,12.85045754,6.859321051,4.574618761,26.2,0.986202487
北京,2016,0.475832373,15.2,0.87,2.567234,0.036206973,12.96540777,6.927822577,4.767821167,29.2,0.967527981
北京,2017,0.45564872,16.3,0.87,2.574505,0.04316501,13.09480511,6.972503153,4.893987404,30.6,0.98204085
北京,2018,0.340898067,14.4,0.87,2.566629,0.06551477,13.21351583,7.040869084,5.02210903,27.8,0.995481571
北京,2019,0.456709146,14.7,0.87,2.552855,0.088647157,13.303953,7.061334367,5.234040301,28,0.947295378
北京,2020,0.463075846,17,0.88,2.509527,0.103714606,13.37995782,7.038783541,5.244010385,31.9,0.879233931
北京,2021,0.474914491,19.3,0.88,2.447767,0.019392091,13.48311002,7.117205503,4.539883611,35.8,0.901594605
北京,2022,0.443913788,20.8,0.88,2.41765,0.020283383,13.53314765,7.155396302,5.243489662,37.3,0.871910306
福建,2011,0.354759693,10,0.58,2.543789,0.028658812,11.8269914,7.323738214,0.763046605,30.6,0.994160174
福建,2012,0.319384664,11.5,0.59,2.523613,0.029464016,11.88960694,7.36486362,0.763256388,33.9,1.077021608
福建,2013,0.334872484,10.9,0.61,2.47032,0.029663382,11.96091352,7.43879521,0.758392275,33.4,1.00206473
福建,2014,0.338486254,10.1,0.62,2.428617,0.034379264,12.06246206,7.52606576,0.753598529,33.7,1.067906985
福建,2015,0.329552561,12.3,0.63,2.412456,0.039743157,12.18950109,7.523945818,0.811818837,36.2,1.163745227
福建,2016,0.322152287,13.9,0.64,2.401093,0.030031311,12.32968311,7.58506775,0.870393702,39.4,1.276953658
福建,2017,0.328753054,13.2,0.66,2.387573,0.038113682,12.47120615,7.655731496,0.941516268,38.9,1.31017178
福建,2018,0.26624468,12.9,0.67,2.36356,0.065285231,12.53788404,7.746655117,0.926421121,35.5,1.36034264
福建,2019,0.332211077,13.7,0.68,2.331357,0.091685886,12.60307202,7.784057003,0.98007027,36.7,1.459997606
福建,2020,0.357461184,15.15,0.69,2.258621,0.109266187,12.66113711,7.817222786,1.026819182,40.25,1.484715227
福建,2021,0.357611865,16.6,0.7,2.201601,0.020282229,12.72843151,7.950502435,1.001136373,43.8,1.544124836
福建,2022,0.33287546,17.6,0.7,2.1538,0.020317542,12.88410619,7.972466016,1.105378092,44,1.861317692
甘肃,2011,0.146062136,12,0.37,3.671576,0.034919991,8.76311533,6.828116656,0.875076466,34.7,-0.256362124
甘肃,2012,0.136523336,12.5,0.39,3.646116,0.034897332,8.850660919,6.902340646,0.926041792,34.8,-0.150750127
甘肃,2013,0.151657358,12,0.41,3.555734,0.034848193,8.781094735,6.978400119,1.003141361,34.8,-0.039959881
甘肃,2014,0.150088936,12,0.42,3.473634,0.042575958,8.81936971,6.998947902,1.062373818,33.9,0.007871426
甘肃,2015,0.158366933,12.7,0.44,3.426615,0.055458252,8.943375541,7.001901145,1.324259599,36,0.059031582
甘肃,2016,0.152822852,13.6,0.46,3.445487,0.036803968,8.92651751,6.970870913,1.459110127,36.8,0.091063845
甘肃,2017,0.146732882,14.3,0.48,3.437717,0.065788593,9.913289358,7.059935447,1.574528977,38.7,0.158201473
甘肃,2018,0.101874642,15.9,0.5,3.402658,0.151197806,10.06972207,7.162025335,1.599217845,40.7,0.21559988
甘肃,2019,0.129644096,16.1,0.51,3.356839,0.229122111,10.15101147,7.160845907,1.675726663,40.1,0.350974154
甘肃,2020,0.138654321,17.65,0.52,3.269722,0.289998408,10.16319444,7.226936018,1.758248372,43.8,0.452030625
甘肃,2021,0.135007784,19.2,0.53,3.165136,0.033456555,10.64065162,7.309881486,1.567425823,47.5,0.600185205
甘肃,2022,0.123878449,19.8,0.54,3.088533,0.031237074,10.62132735,7.313886832,1.449329226,47.4,0.686373543
广东,2011,0.63053143,8.6,0.67,2.701091,0.036139234,13.0224679,8.389137068,0.93109617,31.2,0.831420643
广东,2012,0.620780051,9.1,0.67,2.69837,0.038146925,13.07871447,8.438020106,0.985526272,30.5,0.886881019
广东,2013,0.694253922,9.5,0.68,2.668684,0.040125651,13.14732912,8.48262245,1.032068977,31.5,0.997625747
广东,2014,0.683200359,11,0.69,2.625184,0.049790804,13.23936922,8.563166057,1.039886754,32.9,1.048585894
广东,2015,0.669308186,9.6,0.7,2.601572,0.058837768,13.37593526,8.577477049,1.109545377,30.5,1.096700334
广东,2016,0.647511363,10.2,0.7,2.596748,0.083886805,13.56906128,8.632329171,1.21590064,32.3,1.188934029
广东,2017,0.695402145,10.3,0.71,2.596641,0.06663693,14.38208891,8.692652926,1.284511348,32.6,1.213144471
广东,2018,0.555660784,11,0.72,2.58277,0.110163147,14.46963881,8.75200441,1.321555129,33.6,1.26950297
广东,2019,0.724741459,11.4,0.73,2.55702,0.152344654,14.48500623,8.809265612,1.389684146,32.5,1.397828188
广东,2020,0.747265041,12,0.74,2.495011,0.18742964,14.5889378,8.843037725,1.425883501,35.55,1.492483148
广东,2021,0.725774705,12.6,0.75,2.459159,0.039725865,14.66073484,8.970432074,1.368369208,38.6,1.542313745
广东,2022,0.681629896,13.3,0.75,2.411433,0.039093423,14.6968371,8.970813341,1.359592328,39,1.740351363
广西,2011,0.197767839,13.9,0.42,3.057804,0.031703816,10.30701746,7.014104306,0.955460719,46,0.776208448
广西,2012,0.198220566,13.7,0.43,2.999855,0.032411057,10.34634478,7.050902788,1.03797384,46.9,0.817488291
广西,2013,0.212877363,13.4,0.45,2.911459,0.037343875,10.37120733,7.121010098,1.156944769,44.4,0.861690496
广西,2014,0.222997651,13.9,0.47,2.841069,0.036952212,10.52931903,7.176246887,1.171641791,45.8,0.903137101
广西,2015,0.230917886,14.4,0.48,2.790324,0.044028842,10.65794148,7.196177078,1.269040994,47.9,0.952719619
广西,2016,0.223720625,14.1,0.49,2.734241,0.028086656,10.68556094,7.214982593,1.369026864,45,1.018975853
广西,2017,0.225146964,14.3,0.51,2.693333,0.04494994,10.93667204,7.275829998,1.429402278,47.1,1.034542224
